click_id,banner_id,campaign_id
100000,328,23
100001,357,7
100002,106,41
100003,107,42
100004,391,26
100005,301,25
100006,462,10
100007,213,13
100008,361,25
100009,108,10
100010,282,41
100011,240,8
100012,260,28
100013,339,19
100014,144,42
100015,313,43
100016,368,35
100017,427,14
100018,214,17
100019,413,16
100020,287,21
100021,439,30
100022,231,8
100023,413,50
100024,425,34
100025,155,10
100026,387,29
100027,420,21
100028,190,25
100029,494,33
100030,453,9
100031,125,43
100032,213,3
100033,101,5
100034,138,27
100035,217,20
100036,216,31
100037,228,12
100038,322,31
100039,111,30
100040,288,11
100041,238,46
100042,117,29
100043,403,38
100044,227,5
100045,305,41
100046,157,3
100047,268,14
100048,260,3
100049,424,9
100050,245,16
100051,281,8
100052,166,49
100053,219,40
100054,424,39
100055,223,14
100056,372,46
100057,187,28
100058,199,9
100059,145,28
100060,233,36
100061,206,1
100062,268,1
100063,432,2
100064,138,23
100065,124,43
100066,379,46
100067,391,29
100068,429,36
100069,362,4
100070,222,21
100071,500,33
100072,301,11
100073,315,46
100074,380,46
100075,105,31
100076,435,16
100077,446,50
100078,288,32
100079,343,48
100080,197,26
100081,163,44
100082,435,49
100083,435,40
100084,497,30
100085,189,3
100086,171,43
100087,345,47
100088,239,26
100089,478,26
100090,215,23
100091,139,39
100092,458,43
100093,389,5
100094,475,19
100095,110,18
100096,331,14
100097,308,38
100098,403,34
100099,429,24
100100,152,23
100101,487,45
100102,205,14
100103,351,1
100104,487,48
100105,269,26
100106,473,6
100107,292,32
100108,160,46
100109,304,42
100110,404,46
100111,329,14
100112,285,46
100113,465,19
100114,114,48
100115,260,13
100116,185,39
100117,374,20
100118,279,16
100119,402,1
100120,386,23
100121,302,31
100122,316,14
100123,453,41
100124,424,31
100125,376,32
100126,458,19
100127,443,22
100128,406,17
100129,428,36
100130,102,25
100131,336,44
100132,389,39
100133,242,22
100134,162,21
100135,128,36
100136,378,11
100137,472,49
100138,454,45
100139,469,15
100140,199,39
100141,266,48
100142,185,43
100143,362,7
100144,176,22
100145,420,21
100146,372,34
100147,337,42
100148,321,22
100149,441,8
100150,346,41
100151,198,21
100152,232,23
100153,276,2
100154,146,14
100155,465,4
100156,259,21
100157,112,8
100158,338,23
100159,271,38
100160,236,23
100161,175,49
100162,253,9
100163,470,24
100164,138,45
100165,334,1
100166,446,28
100167,456,47
100168,322,34
100169,271,1
100170,369,26
100171,364,2
100172,413,28
100173,195,23
100174,255,14
100175,402,29
100176,133,12
100177,153,32
100178,251,9
100179,388,34
100180,214,6
100181,392,10
100182,118,26
100183,122,19
100184,275,27
100185,433,26
100186,187,31
100187,384,40
100188,281,13
100189,348,20
100190,398,27
100191,312,45
100192,276,8
100193,361,9
100194,207,8
100195,222,9
100196,305,47
100197,429,22
100198,195,33
100199,493,22
100200,106,10
100201,492,19
100202,200,49
100203,281,4
100204,321,12
100205,398,8
100206,382,42
100207,476,43
100208,165,4
100209,456,10
100210,487,36
100211,459,26
100212,183,16
100213,324,21
100214,135,48
100215,380,36
100216,135,16
100217,215,10
100218,427,38
100219,189,37
100220,433,33
100221,113,44
100222,283,17
100223,238,37
100224,452,35
100225,378,44
100226,222,23
100227,216,45
100228,485,47
100229,101,20
100230,351,15
100231,496,22
100232,398,35
100233,224,44
100234,406,28
100235,147,48
100236,317,47
100237,323,22
100238,383,2
100239,244,25
100240,265,37
100241,336,38
100242,481,6
100243,258,36
100244,469,31
100245,185,29
100246,377,29
100247,368,29
100248,183,15
100249,369,12
100250,410,17
100251,275,12
100252,156,9
100253,482,4
100254,394,48
100255,251,37
100256,253,12
100257,108,33
100258,485,21
100259,139,20
100260,162,28
100261,120,18
100262,478,27
100263,212,46
100264,318,28
100265,123,39
100266,155,42
100267,222,8
100268,181,16
100269,400,10
100270,368,34
100271,182,19
100272,476,19
100273,331,34
100274,126,49
100275,415,14
100276,296,18
100277,202,47
100278,496,35
100279,416,50
100280,343,24
100281,213,38
100282,184,18
100283,154,47
100284,437,21
100285,392,14
100286,402,8
100287,428,3
100288,312,30
100289,478,31
100290,368,8
100291,283,1
100292,391,31
100293,161,36
100294,409,12
100295,427,36
100296,499,41
100297,196,17
100298,376,35
100299,427,10
100300,209,38
100301,416,17
100302,191,10
100303,419,24
100304,403,23
100305,261,33
100306,259,25
100307,162,45
100308,311,29
100309,116,17
100310,249,18
100311,126,31
100312,320,43
100313,154,31
100314,456,45
100315,309,39
100316,378,3
100317,473,35
100318,370,5
100319,274,42
100320,337,19
100321,235,42
100322,240,41
100323,181,34
100324,268,24
100325,119,34
100326,317,40
100327,151,29
100328,462,19
100329,348,5
100330,217,2
100331,392,23
100332,140,35
100333,265,45
100334,373,2
100335,377,17
100336,268,13
100337,283,6
100338,172,47
100339,467,38
100340,229,9
100341,205,43
100342,173,48
100343,322,31
100344,424,17
100345,113,8
100346,225,16
100347,271,14
100348,122,3
100349,448,46
100350,206,13
100351,166,46
100352,376,10
100353,232,6
100354,282,10
100355,443,15
100356,370,31
100357,211,9
100358,159,27
100359,136,18
100360,387,31
100361,182,30
100362,342,8
100363,341,50
100364,295,24
100365,352,12
100366,468,11
100367,173,35
100368,116,13
100369,323,38
100370,185,28
100371,210,19
100372,372,28
100373,439,36
100374,406,8
100375,297,47
100376,284,6
100377,306,32
100378,198,50
100379,432,11
100380,328,9
100381,208,29
100382,135,21
100383,215,5
100384,161,9
100385,412,10
100386,372,3
100387,260,20
100388,426,3
100389,410,8
100390,438,8
100391,299,35
100392,345,10
100393,166,27
100394,429,41
100395,164,48
100396,324,23
100397,103,45
100398,154,34
100399,183,45
100400,466,39
100401,208,8
100402,145,16
100403,402,13
100404,348,28
100405,159,11
100406,135,7
100407,368,41
100408,144,20
100409,163,46
100410,196,22
100411,360,10
100412,425,39
100413,100,14
100414,330,44
100415,446,13
100416,415,1
100417,320,9
100418,196,21
100419,254,12
100420,368,44
100421,399,1
100422,363,42
100423,364,15
100424,256,50
100425,135,13
100426,350,5
100427,118,23
100428,387,26
100429,443,33
100430,131,40
100431,186,35
100432,405,49
100433,465,16
100434,361,42
100435,298,24
100436,495,6
100437,199,38
100438,431,45
100439,153,40
100440,461,29
100441,298,9
100442,406,30
100443,455,36
100444,281,17
100445,233,11
100446,308,20
100447,354,43
100448,472,32
100449,269,45
100450,136,22
100451,200,16
100452,343,28
100453,220,27
100454,398,36
100455,360,19
100456,155,34
100457,147,44
100458,102,1
100459,308,6
100460,237,49
100461,358,1
100462,485,39
100463,420,40
100464,222,22
100465,229,29
100466,212,5
100467,132,39
100468,385,41
100469,168,18
100470,299,35
100471,257,28
100472,395,26
100473,123,34
100474,477,46
100475,190,5
100476,213,28
100477,479,2
100478,380,6
100479,337,7
100480,188,15
100481,245,15
100482,326,8
100483,261,33
100484,177,19
100485,492,15
100486,181,3
100487,166,40
100488,422,15
100489,273,5
100490,328,47
100491,171,13
100492,442,3
100493,192,38
100494,230,42
100495,174,3
100496,347,28
100497,494,19
100498,398,1
100499,447,31
100500,467,44
100501,336,18
100502,484,18
100503,200,41
100504,134,40
100505,261,27
100506,395,34
100507,289,42
100508,288,4
100509,409,21
100510,378,31
100511,276,41
100512,108,32
100513,352,30
100514,484,25
100515,263,41
100516,218,1
100517,276,35
100518,252,31
100519,394,15
100520,135,33
100521,157,31
100522,368,3
100523,392,1
100524,445,12
100525,345,36
100526,419,19
100527,205,31
100528,112,25
100529,190,35
100530,397,26
100531,333,42
100532,323,15
100533,289,19
100534,394,18
100535,118,32
100536,169,2
100537,176,4
100538,212,11
100539,488,35
100540,234,26
100541,259,14
100542,346,18
100543,218,20
100544,280,26
100545,378,19
100546,230,33
100547,206,40
100548,198,42
100549,455,43
100550,149,47
100551,477,5
100552,475,47
100553,407,2
100554,349,50
100555,414,32
100556,397,4
100557,462,34
100558,187,1
100559,344,44
100560,149,2
100561,320,43
100562,262,14
100563,343,23
100564,119,35
100565,349,14
100566,324,28
100567,459,46
100568,268,47
100569,313,8
100570,179,6
100571,403,2
100572,363,48
100573,327,8
100574,267,49
100575,210,14
100576,268,9
100577,285,28
100578,180,35
100579,462,25
100580,440,7
100581,346,6
100582,472,49
100583,489,22
100584,472,19
100585,453,34
100586,237,14
100587,413,15
100588,476,43
100589,438,19
100590,308,1
100591,423,6
100592,265,31
100593,348,31
100594,273,36
100595,487,22
100596,476,4
100597,436,47
100598,364,41
100599,284,37
100600,334,20
100601,100,29
100602,139,48
100603,343,50
100604,254,49
100605,448,5
100606,173,16
100607,210,2
100608,296,14
100609,376,24
100610,191,12
100611,114,23
100612,114,20
100613,102,4
100614,254,19
100615,433,37
100616,210,25
100617,129,37
100618,122,12
100619,339,4
100620,123,14
100621,237,31
100622,133,27
100623,378,38
100624,405,41
100625,232,36
100626,480,36
100627,171,17
100628,277,32
100629,113,16
100630,416,45
100631,485,31
100632,347,25
100633,228,9
100634,238,4
100635,218,19
100636,147,21
100637,286,38
100638,228,39
100639,397,1
100640,484,30
100641,141,29
100642,460,16
100643,168,42
100644,253,7
100645,465,9
100646,208,3
100647,465,50
100648,358,18
100649,227,8
100650,306,27
100651,408,20
100652,231,28
100653,284,17
100654,415,41
100655,367,26
100656,432,4
100657,266,30
100658,291,28
100659,324,9
100660,155,38
100661,348,36
100662,364,35
100663,147,9
100664,402,26
100665,296,4
100666,190,11
100667,152,44
100668,430,3
100669,131,35
100670,119,2
100671,399,17
100672,444,29
100673,352,20
100674,325,23
100675,437,6
100676,322,6
100677,161,3
100678,473,6
100679,271,21
100680,418,10
100681,150,3
100682,229,43
100683,300,7
100684,378,49
100685,471,8
100686,277,25
100687,307,40
100688,360,34
100689,366,31
100690,249,32
100691,206,10
100692,442,7
100693,420,40
100694,407,31
100695,115,44
100696,467,5
100697,261,7
100698,199,33
100699,200,15
100700,435,16
100701,194,9
100702,110,13
100703,140,2
100704,250,47
100705,346,13
100706,228,39
100707,118,31
100708,354,22
100709,393,23
100710,289,40
100711,144,14
100712,153,37
100713,195,20
100714,188,22
100715,165,39
100716,462,29
100717,280,43
100718,109,8
100719,435,17
100720,364,6
100721,442,30
100722,342,44
100723,402,26
100724,178,43
100725,359,40
100726,362,33
100727,210,34
100728,131,1
100729,416,4
100730,326,26
100731,436,37
100732,298,9
100733,466,15
100734,321,10
100735,325,41
100736,134,6
100737,208,15
100738,383,38
100739,170,22
100740,354,15
100741,422,7
100742,195,42
100743,107,41
100744,291,12
100745,343,40
100746,384,10
100747,129,20
100748,426,16
100749,370,21
100750,436,32
100751,149,39
100752,163,49
100753,172,5
100754,365,8
100755,337,23
100756,223,24
100757,418,15
100758,254,37
100759,224,50
100760,176,20
100761,157,17
100762,114,33
100763,153,5
100764,474,7
100765,142,10
100766,168,26
100767,116,23
100768,203,21
100769,256,5
100770,349,10
100771,119,36
100772,194,12
100773,343,43
100774,147,45
100775,258,49
100776,330,24
100777,333,43
100778,172,20
100779,359,1
100780,202,3
100781,303,26
100782,228,31
100783,456,31
100784,296,44
100785,298,4
100786,482,42
100787,133,18
100788,260,22
100789,308,4
100790,111,9
100791,466,21
100792,410,35
100793,105,20
100794,423,26
100795,211,15
100796,261,29
100797,333,39
100798,102,34
100799,367,10
100800,380,48
100801,430,17
100802,491,24
100803,282,26
100804,300,40
100805,454,36
100806,300,33
100807,297,24
100808,414,11
100809,153,34
100810,412,36
100811,171,40
100812,345,23
100813,187,43
100814,143,8
100815,300,33
100816,166,4
100817,214,4
100818,412,21
100819,498,20
100820,266,9
100821,273,48
100822,203,22
100823,254,18
100824,137,20
100825,435,5
100826,371,41
100827,347,2
100828,200,6
100829,494,20
100830,394,13
100831,208,9
100832,491,13
100833,416,36
100834,481,12
100835,217,10
100836,327,45
100837,245,48
100838,490,1
100839,342,3
100840,477,6
100841,213,42
100842,288,6
100843,183,30
100844,380,6
100845,187,23
100846,450,26
100847,208,35
100848,357,20
100849,235,47
100850,221,16
100851,336,22
100852,417,38
100853,232,16
100854,348,20
100855,179,12
