banner_id,campaign_id
410,27
226,25
173,49
160,18
112,19
192,12
127,13
155,49
387,40
278,38
176,50
336,38
404,4
209,25
346,28
146,45
345,38
327,12
486,39
320,23
113,1
367,19
307,9
245,38
120,31
300,15
116,47
217,1
443,38
445,12
432,19
363,10
376,10
356,28
396,49
137,40
293,19
397,9
117,40
298,15
305,49
329,31
374,31
485,39
278,23
200,27
435,44
380,42
165,9
340,28
490,27
389,36
127,25
328,37
390,28
107,30
267,35
278,11
200,13
177,33
285,25
402,14
148,44
402,8
104,19
438,23
156,2
305,43
139,37
140,32
434,37
331,43
428,16
469,9
481,27
404,46
362,33
239,12
442,41
238,1
282,47
412,41
464,35
126,6
500,43
477,5
465,33
314,25
348,11
165,50
380,39
214,31
389,9
360,11
137,27
110,21
283,23
493,37
330,2
160,38
235,38
341,29
201,8
354,29
432,15
283,46
303,13
416,26
108,13
329,14
349,3
266,2
441,22
171,31
105,50
256,37
217,27
273,43
132,6
344,19
353,18
279,37
214,40
160,49
253,47
474,5
393,25
252,22
404,20
116,50
343,30
141,22
473,13
276,8
449,40
152,3
326,34
214,33
281,46
273,21
178,25
221,43
400,2
343,10
216,3
415,33
334,7
195,48
454,29
431,42
165,31
282,26
334,39
349,6
159,26
323,37
359,6
241,34
288,4
118,28
447,34
281,22
102,2
169,10
327,18
480,34
478,15
213,4
368,10
303,17
138,36
337,23
301,47
381,47
337,15
321,19
238,31
346,30
269,20
363,48
166,38
267,30
308,25
335,38
101,24
104,50
308,48
223,24
390,47
312,36
252,45
159,39
420,28
441,28
386,4
233,11
287,41
283,11
431,32
374,44
495,40
130,48
175,41
446,28
126,49
477,34
498,50
149,2
272,42
319,16
280,44
485,1
367,12
493,5
117,24
453,4
135,5
427,26
411,33
399,15
370,21
237,13
292,45
477,17
410,3
162,20
281,20
321,18
244,27
239,41
139,49
419,40
131,37
341,37
410,43
418,47
366,32
232,36
446,42
422,35
196,23
267,30
182,39
177,35
433,9
281,45
283,18
340,49
494,49
431,28
217,10
324,13
430,37
165,36
421,19
349,27
492,39
391,24
170,14
229,9
290,11
490,2
382,49
348,6
297,37
237,8
268,37
371,49
422,46
322,24
491,26
408,44
315,38
121,29
213,36
438,31
171,6
446,50
300,27
369,34
361,7
174,42
192,37
362,13
296,4
426,11
301,11
227,20
484,3
312,8
421,30
161,43
230,20
162,44
263,28
285,45
127,11
453,28
259,33
150,31
183,20
368,41
449,31
372,49
124,37
429,43
316,45
279,11
313,44
319,43
385,15
202,41
251,32
330,7
170,30
425,44
270,43
250,6
465,15
226,28
352,30
227,21
290,43
362,9
111,6
160,31
182,33
454,23
492,39
402,10
323,4
419,6
354,29
145,44
384,43
413,6
354,4
125,14
449,24
215,13
461,24
369,45
174,16
223,32
347,48
176,48
264,11
196,50
238,44
124,42
213,12
269,27
405,45
488,21
340,17
483,36
193,10
149,30
172,36
175,5
152,15
171,25
499,30
382,43
127,22
454,27
299,18
141,6
411,20
255,35
418,37
319,45
422,5
229,11
281,20
340,22
212,38
343,17
188,27
244,48
377,26
486,10
172,50
469,36
274,18
397,37
381,4
138,15
436,26
